seal_id,tamil_reading_full,line_count,source_doc
220,"சிவம், சிவன் (துணக்குறி = அம்,அன்,அல்,அர்)",1,INDUS_SEALS_READ_in_book_5.pdf
232,மலை அரச,1,INDUS_SEALS_READ_in_book_5.pdf
327,"அரசணஅ, அரசனின்",1,INDUS_SEALS_READ_in_book_5.pdf
342,"த ொழு, த ொழுவம்",1,INDUS_SEALS_READ_in_book_5.pdf
343,அ த ொழு = மொட்டுத் த ொழுவம்,1,INDUS_SEALS_READ_in_book_5.pdf
1007,ஆறு (உலை)ய,1,INDUS_SEALS_READ_in_book_5.pdf
1008,க ொழி ஆர் இருளைொ வயமூன் (ஆர்=ஊர்),1,INDUS_SEALS_READ_in_book_5.pdf
1028,ஓவண்ணளொர் ய் (உலைய) ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1030,வயமூன் ஓர் ஆ ொவ்வ=பொற்பசுக் ொவைர்,1,INDUS_SEALS_READ_in_book_5.pdf
1102,ண்ணி | ண்ண(ீர்),2,INDUS_SEALS_READ_in_book_5.pdf
1105,"வ "" பன்னிரு வண ள வ்யமூன் | வ வ பன்னிரு வன ண்ணல் பொல்",2,INDUS_SEALS_READ_in_book_5.pdf
1109,வ' இளைொ ஆக்( ள்),1,INDUS_SEALS_READ_in_book_5.pdf
1110,வ சம ள வ ண்ண(ல்),1,INDUS_SEALS_READ_in_book_5.pdf
1114,வ வ இருளட்ை ஆ ( வ ொரி மொடு),1,INDUS_SEALS_READ_in_book_5.pdf
1120,ொரி மொடு,1,INDUS_SEALS_READ_in_book_5.pdf
1121,இைம இைம வய(ல்) ொவ(ல்),1,INDUS_SEALS_READ_in_book_5.pdf
1143,மி ச் சிறந் தெய் | ெ ய் = தெய்,2,INDUS_SEALS_READ_in_book_5.pdf
1046,யொழ ன ண்ணொ,1,INDUS_SEALS_READ_in_book_5.pdf
1035,சி வண்(ணொ) ஆறு உலைய,1,INDUS_SEALS_READ_in_book_5.pdf
1045,"வய(ல்) ொவ்வன், வைிய ொவ்வன்",1,INDUS_SEALS_READ_in_book_5.pdf
1048,ய ய இருளன் (துலணக்குறி= அன்),1,INDUS_SEALS_READ_in_book_5.pdf
1049,"வய க ொயிைண் பண "" ைொவ க ளண்ன ய்யொ ஆ",1,INDUS_SEALS_READ_in_book_5.pdf
1068,ண்(ண)ல் வ்யமூன் = அண்ணல் பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
1070,ஆமு ம ண்(ணொ),1,INDUS_SEALS_READ_in_book_5.pdf
1076,வ வ ெய்= மி ச் சிறந் தெய்,1,INDUS_SEALS_READ_in_book_5.pdf
1078,மீமீ ர் ஆ= கமைொளர் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1088,வ வய ைொ ள ன்,1,INDUS_SEALS_READ_in_book_5.pdf
1094,மீமீண்ணல் வ்யமூன்=கமைொன அண்ணல் பொல்,1,INDUS_SEALS_READ_in_book_5.pdf
1098,மீமீஇள ய்யொ ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1010,வ வ ளொர் ண்ண ய் ஆ,1,INDUS_SEALS_READ_in_book_5.pdf
1116,மூ(த் ) வ(த் ர்) ய் (உலைய) (6-அன் உருபு) ஆ ண(ய்),1,INDUS_SEALS_READ_in_book_5.pdf
1127,வ ீவித் ொவ்வ= கமைொன வித்து ொவல்,1,INDUS_SEALS_READ_in_book_5.pdf
1129,சிவ ை மூ ஆ ொவ்வ; ை-6-அன் உருபு,1,INDUS_SEALS_READ_in_book_5.pdf
1133,"ெ ய் = தெய் (மு, மூ கபொை ெ, ெொ பயனில்)",1,INDUS_SEALS_READ_in_book_5.pdf
