seal_id,motif_mentioned,reading_english,hypothesis,confidence,source
2082,unicorn,iisaa muu aagaavva = carer of three,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2097,no motif,koyil ida muu da aa = aged,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2478,unicorn,mi mi eezu njan aa = very good,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2617,unicorn,v va da d Lz vya mu r muraa =,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2167,unicorn,"thoLzu muuya = shed for oxen, where",VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
1007,unicorn,aaRu ya = Here the tally mark for six also,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2950,design motif,"four y = na(nku) y = na y= ney,",VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2322,bull,na y aagaavva = ghee by cow carer.,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2648,elephant,mi mi na y thoLzu = very good,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
1076,unicorn,thava thava na y = very good,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
1045,unicorn,vaya kaavvan = strong guard. The,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2015,unicorn,vya muu n (milk). This meaning was,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
8117,no motif,KoLzi (ur) aaNai = KoLzi village,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
2503,unicorn,mi mi KoLzi (ur) kaa v va = very,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
1228,unicorn,mi mi koLzi aa ka v va = very,VPS2024,0.67,Indus_Scripts_Research_Keys_draft01.pdf (body text)
