seal_id,motif,phoneme_string,proposed_meaning_english,proposed_meaning_tamil,semantic_domain,confidence,paper_section,source_quote,notes
3023,unicorn,didiir aa,Just expressed fresh milk,,dairy products,0.72,Fig 1; p.3,"seals 3023, 2358... didiir aa",Unicorn=Market Common. 'didiir'=just expressed/instant. 'aa'=cow/milk.
2358,unicorn,didiir aa,Just expressed fresh milk,,dairy products,0.72,Fig 1; p.3,"seals 3023, 2358... didiir aa","Identical reading to 3023; same product, same Market Common."
1076,unicorn,thava ne-y,Very good ghee,தவ நெய்,dairy products,0.74,Fig 1; p.3; Research Keys §2.60,"very good ghee (seal 1076, thava ne-y)",Tally-4 provides phoneme 'na' → na+y = ney (ghee). thava=very good.
2082,unicorn,iisaa muu aagaavva,Carer of three cows of Isaa (Shiva),இசா மூ ஆகாவ்வ,animal husbandry / religious,0.68,Fig 1; Research Keys §2.60,iisaa muu aagaavva = carer of three cows of Isaa (Shiva),Tally-3 provides count 'muu'=three. Isaa=Shiva. Donated cows for temple. Unicorn=Market Common temple location.
2648,elephant,mi mi na y thoLzu,Very good ghee shed,மி மி நய் தொழு,dairy products,0.7,Fig 1; Research Keys §2.60,2648 (elephant) = mi mi na y thoLzu = very good ghee shed,Elephant motif = Elephant Street. Tally-4 provides 'na' → ney=ghee. thoLzu=shed.
2127,elephant,eNNey,Sesame ghee (sesame oil),எண்ணெய்,food commodities,0.72,Fig 1; p.3,"producer of sesame 'ghee' (seal 2127), (eNNey in Tamil)",Elephant Street. eNNey=sesame oil in Tamil. Still in use today.
1386,composite,,High-value cattle shed,,animal husbandry,0.63,p.3,"Zebu/Tiger Street: Associated with high-value cattle shed (seal 1386), a composite motif combining many streets or many sheds",Composite motif = multiple street jurisdictions combined.
2444,unicorn,aNNa(l) kai aaNai,Order of the Leader — Market Common jurisdiction,அண்ணல் கை ஆணை,governance / law,0.71,p.3,"Seals 2444 and 2864, both carry the command 'aNNa(l) kai aaNai' (Order of the Leader)",Same law as 2864 but unicorn motif = applies to Market Common.
2864,gharial,aNNa(l) kai aaNai,Order of the Leader — Gharial/Riverine jurisdiction,அண்ணல் கை ஆணை,governance / law,0.71,p.3,"Seals 2444 and 2864, both carry the command 'aNNa(l) kai aaNai'... other a Gharial jurisdiction",Identical inscription to 2444; gharial motif = riverine district.
4440,none,,Citywide curfew ordinance,,governance / law,0.65,p.3,Citywide curfew (seal 4440),No motif = city-wide universal ordinance. Not location-restricted.
4371,none,,Law from farmers guild,,governance / law,0.63,p.3,law from a farmers' guilds (seal 4371),No motif = city-wide. Not location-restricted.
4284,none,,Skill certification for worker,,labour / certification,0.62,p.3,a skill certification for a worker (seal 4284),No motif = not location-restricted.
2234,unicorn + bull,vayya yiir illam,The world is a Big Home,வையா யீர் இல்லம்,governance / ethics,0.7,p.3,"seal 2234 reads as 'vayya yiir illam', 'The world is a Big Home', at the Market Common, and Bull Street, as a guiding banner",Displayed as banner at Market Common and Bull Street. Explains absence of military imagery. 'guards' = carers.
4718,none,,Panic milk mandate for infants and children,,social welfare,0.66,p.3,"seal 4718, 'panic milk for children'. A seal without a motif, it is an ordinance mandating fresh milk from on-demand cows",City-wide ordinance. No motif=universal. On-demand cows bridge milking schedules for infant nutrition.
3016,unicorn,didiir,Just expressed fresh milk (availability announcement),,dairy products,0.68,p.3,3016 didiir fresh milk,Unicorn=Market Common. Stacked milking schedule announcement for Market Common milk cow shed.
1425,none,illam vaya muu thani,Homes for the aged and alone,இல்லம் வய மூ தனி,social welfare / elder care,0.67,p.3,"Seal 1425 'illam vaya muu thani', 'Homes for the aged and alone'","No motif = not a business, city-wide provision. Elder care facility."
5119,unicorn,muu da aa thoLzu,Shed for aged cattle,மூ ட ஆ தொழு,animal welfare,0.65,p.3,"seal 5119, 'muu da aa thoLzu', 'shed for aged cattle'",Unicorn=Market Common. Aged cattle yield manure=fertiliser. Sustainability integration.
3246,none,vayamuula aagaavva,Carer of aged cattle,வயமூல ஆகாவ்வ,animal husbandry,0.67,p.5; Fig 3,"seal 3246 'vayamuula aagaavva', carer of aged cattle... This transition from linear to integrated writing is a key indicator of a mature, professionally managed script",Documents compound sign evolution: sign 10 (kaa) → sign 12 (kaavva) → sign 15 (aakaavva=cow carer).
1110,unicorn,,Respected equanimous great leader (adjudicating mediator),,governance,0.64,p.4,"Seal 1110 identifies a 'respected equanimous great leader', who is found at the Market Common, functioning as an adjudicating mediator in commercial disagreements",Unicorn=Market Common location. Leader=aNNa or aNNal (Elder and Leader).
2617,unicorn,v va da d Lz vya mu r muraa,Buttermilk available HERE (banner announcement),,dairy products,0.62,p.4,"seal (2617), 'buttermilk available HERE'. People are not reading the permit seal, but a large banner or sign board","Single ditto mark reads only one preceding sound. Seal implies a banner permit, not a product seal. Evidence for widespread literacy and public signage."
2503,unicorn,mi mi KoLzi (ur) kaa v va,Very good care of KoLzi village,,governance,0.63,p.4,"'Care of the village' (seal 2503, 1228)",
1228,unicorn,mi mi koLzi aa ka v va,Very good cow care of KoLzi village,,governance / animal husbandry,0.63,p.4,"'Care of the village' (seal 2503, 1228)",
8117,none,KoLzi (ur) aaNai,Laws of KoLzi village,,governance / law,0.62,p.4,related laws (seal 8117) of the KoLzi village,No motif = city/village-wide ordinance.
DHOLAVIRA_SIGNBOARD,none,,Residence of the king's advisors and grain store,,governance,0.58,p.4,"a new interpretation of the famous Dholavera signboard reading as the 'residence of the king's advisors and grain store', paralleling the seals 1110, 2503, and 8117",Famous 10-sign Dholavira inscription. Leader referred to as aNNa or aNNal (Elder and Leader).
